DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Kevin Love,201567,Cavaliers
Kyle Lowry,200768,Raptors
Gabriel Lundberg,1630994,
Timothe Luwawu-Cabarrot,1627789,Nets
Trey Lyles,1626168,Spurs
Will Magnay,1630266,
Makur Maker,1630588,
Thon Maker,1627748,
Theo Maledon,1630177,Thunder
Sandro Mamukelashvili,1630572,
Karim Mane,1630211,
Terance Mann,1629611,Clippers
Tre Mann,1630544,
Nico Mannion,1630185,Warriors
Boban Marjanovic,1626246,Mavericks
Lauri Markkanen,1628374,Bulls
Naji Marshall,1630230,Pelicans
Caleb Martin,1628997,Hornets
Cody Martin,1628998,Hornets
Jeremiah Martin,1629725,Cavaliers
Kelan Martin,1629103,Pacers
Tyrese Martin,1631213,
Kenyon Martin Jr.,1630231,Rockets
Frank Mason III,1628412,
Garrison Mathews,1629726,Wizards
Dakota Mathias,1629751,
Bennedict Mathurin,1631097,
Wesley Matthews,202083,Lakers
Tyrese Maxey,1630178,76ers
Skylar Mays,1630219,Hawks
Miles McBride,1630540,
Patrick McCaw,1627775,
Mac McClung,1630644,
CJ McCollum,203468,Trail Blazers
T.J. McConnell,204456,Pacers
Javante McCoy,1631322,
Jaden McDaniels,1630183,Timberwolves
Jalen McDaniels,1629667,Hornets
Doug McDermott,203926,Pacers
Sean McDermott,1630253,Grizzlies
JaVale McGee,201580,Nuggets
Bryce McGowens,1631121,
Cameron McGriff,1630787,
Rodney McGruder,203585,Pistons
Alfonzo McKinnie,1628035,Lakers
JaQuori McLaughlin,1630605,
Jordan McLaughlin,1629162,Timberwolves
Ben McLemore,203463,Lakers
Nicolo Melli,1629740,Mavericks
De'Anthony Melton,1629001,Grizzlies
Sam Merrill,1630241,Bucks
Chimezie Metu,1629002,Kings
Khris Middleton,203114,Bucks
CJ Miles,101139,
Darius Miller,203121,
Isaiah Miller,1630627,
Patty Mills,201988,Spurs
Paul Millsap,200794,Nuggets
Shake Milton,1629003,76ers
Josh Minott,1631169,
Davion Mitchell,1630558,
Donovan Mitchell,1628378,Jazz
Evan Mobley,1630596,
Isaiah Mobley,1630600,
Adam Mokoka,1629690,Bulls
Chima Moneke,1631320,
Malik Monk,1628370,Hornets
Greg Monroe,202328,
Moses Moody,1630541,
Xavier Moon,1629875,
Matt Mooney,1629760,
E'Twaun Moore,202734,Suns
Wendell Moore Jr.,1631111,
Ja Morant,1629630,Grizzlies
Juwan Morgan,1629752,Jazz
Jaylen Morris,1628537,
Markieff Morris,202693,Lakers
Monte Morris,1628420,Nuggets
Marcus Morris Sr.,202694,Clippers
Emmanuel Mudiay,1626144,
Mychal Mulder,1628539,Warriors
Ade Murkey,1630278,
Trey Murphy III,1630530,
Dejounte Murray,1627749,Spurs
Jamal Murray,1627750,Nuggets
Keegan Murray,1631099,
Mike Muscala,203488,Thunder
Svi Mykhailiuk,1629004,Thunder
Abdel Nader,1627846,Suns
Larry Nance Jr.,1626204,Cavaliers
Andrew Nembhard,1629614,
RJ Nembhard Jr.,1630612,
Aaron Nesmith,1630174,Celtics
Raul Neto,203526,Wizards
Malik Newman,1629005,
Georges Niang,1627777,Jazz
Daishen Nix,1630227,
Zeke Nnaji,1630192,Nuggets
Nerlens Noel,203457,Knicks
Jaylen Nowell,1629669,Timberwolves
Frank Ntilikina,1628373,Knicks
Kendrick Nunn,1629134,Heat
James Nunnally,203263,Pelicans
Jusuf Nurkic,203994,Trail Blazers
David Nwaba,1628021,Rockets
Jordan Nwora,1629670,Bucks
Royce O'Neale,1626220,Jazz
Semi Ojeleye,1628400,Celtics
Jahlil Okafor,1626143,Pistons
Chuma Okeke,1629643,Magic
Josh Okogie,1629006,Timberwolves
Onyeka Okongwu,1630168,Hawks
Isaac Okoro,1630171,Cavaliers
KZ Okpala,1629644,Heat
Victor Oladipo,203506,Heat
Cameron Oliver,1628419,
Kelly Olynyk,203482,Rockets
Eugene Omoruyi,1630647,
Miye Oni,1629671,Jazz
Cedi Osman,1626224,Cavaliers
Daniel Oturu,1630187,Clippers
Kelly Oubre Jr.,1626162,Warriors
Jaysean Paige,1629873,
Trayvon Palmer,1629309,
Kevin Pangos,1630698,
Jabari Parker,203953,Celtics
Eric Paschall,1629672,Warriors
Anzejs Pasecniks,1628394,
Patrick Patterson,202335,Clippers
Justin Patton,1628383,
Chris Paul,101108,Suns
Cameron Payne,1626166,Suns
Elfrid Payton,203901,Knicks
Gary Payton II,1627780,Warriors
Norvel Pelle,203658,Knicks
Reggie Perry,1629617,Nets
John Petty Jr.,1630566,
Jamorko Pickett,1630691,
Theo Pinson,1629033,Knicks
Scotty Pippen Jr.,1630590,
Daeqwon Plowden,1631342,
Mason Plumlee,203486,Pistons
Jakob Poeltl,1627751,Spurs
Vincent Poirier,1629738,
Aleksej Pokusevski,1630197,Thunder
Yves Pons,1630582,
Jordan Poole,1629673,Warriors
Jontay Porter,1629007,Grizzlies
Kevin Porter Jr.,1629645,Rockets
Michael Porter Jr.,1629008,Nuggets
Otto Porter Jr.,203490,Magic
Bobby Portis,1626171,Bucks
Kristaps Porzingis,204001,Mavericks
Micah Potter,1630695,
Dwight Powell,203939,Mavericks
Myles Powell,1629619,
Norman Powell,1626181,Trail Blazers
Jason Preston,1630554,
Joshua Primo,1630563,
Taurean Prince,1627752,Cavaliers
Payton Pritchard,1630202,Celtics
Trevelin Queen,1630243,
Neemias Queta,1629674,
Immanuel Quickley,1630193,Knicks
Lester Quinones,1631311,
Brandon Rachal,1630672,
Jahmi'us Ramsey,1630186,Kings
Chasson Randle,1626184,Magic
Julius Randle,203944,Knicks
Austin Reaves,1630559,
Cam Reddish,1629629,Hawks
JJ Redick,200755,Mavericks
Davon Reed,1628432,
Paul Reed,1630194,76ers
Naz Reid,1629675,Timberwolves
Cam Reynolds,1629244,
Jared Rhoden,1631197,
Nick Richards,1630208,Hornets
Josh Richardson,1626196,Mavericks
Grant Riller,1630203,Hornets
Austin Rivers,203085,Nuggets
Andre Roberson,203460,
Duncan Robinson,1629130,Heat
Jerome Robinson,1629010,
Justin Robinson,1629620,
