athlete_id,athlete_headshot_href
1999,https://a.espncdn.com/i/headshots/nba/players/full/1999.png
2453,NA
2372,NA
77,NA
42,NA
2520,NA
2494,NA
2403,NA
2458,NA
2508,NA
2429,https://a.espncdn.com/i/headshots/nba/players/full/2429.png
2441,NA
2450,https://a.espncdn.com/i/headshots/nba/players/full/2450.png
2706,NA
2431,https://a.espncdn.com/i/headshots/nba/players/full/2431.png
2383,NA
2432,NA
2454,NA
2380,NA
2222,NA
1769,NA
767,NA
2388,NA
683,NA
2241,NA
2498,NA
2512,NA
554,NA
2784,NA
2477,https://a.espncdn.com/i/headshots/nba/players/full/2477.png
2757,https://a.espncdn.com/i/headshots/nba/players/full/2757.png
2761,https://a.espncdn.com/i/headshots/nba/players/full/2761.png
2819,https://a.espncdn.com/i/headshots/nba/players/full/2819.png
2762,NA
2792,https://a.espncdn.com/i/headshots/nba/players/full/2792.png
2759,https://a.espncdn.com/i/headshots/nba/players/full/2759.png
2806,https://a.espncdn.com/i/headshots/nba/players/full/2806.png
2818,NA
2746,https://a.espncdn.com/i/headshots/nba/players/full/2746.png
2815,NA
2775,https://a.espncdn.com/i/headshots/nba/players/full/2775.png
2769,https://a.espncdn.com/i/headshots/nba/players/full/2769.png
2802,NA
2779,https://a.espncdn.com/i/headshots/nba/players/full/2779.png
2745,https://a.espncdn.com/i/headshots/nba/players/full/2745.png
2804,NA
2789,https://a.espncdn.com/i/headshots/nba/players/full/2789.png
2782,https://a.espncdn.com/i/headshots/nba/players/full/2782.png
2772,https://a.espncdn.com/i/headshots/nba/players/full/2772.png
2180,NA
1828,https://a.espncdn.com/i/headshots/nba/players/full/1828.png
2770,https://a.espncdn.com/i/headshots/nba/players/full/2770.png
2810,https://a.espncdn.com/i/headshots/nba/players/full/2810.png
2799,https://a.espncdn.com/i/headshots/nba/players/full/2799.png
2824,NA
2797,https://a.espncdn.com/i/headshots/nba/players/full/2797.png
2833,NA
2832,https://a.espncdn.com/i/headshots/nba/players/full/2832.png
2873,NA
2841,NA
2752,NA
2197,https://a.espncdn.com/i/headshots/nba/players/full/2197.png
2809,NA
2805,NA
2492,NA
2834,https://a.espncdn.com/i/headshots/nba/players/full/2834.png
2763,https://a.espncdn.com/i/headshots/nba/players/full/2763.png
